email address,item01 score,item02 score,item03 score,item04 score,item05 score,item06 score,item07 score,item08 score,item09 score,item10 score,item11 score,item01 responded at,item02 responded at,item03 responded at,item04 responded at,item05 responded at,item06 responded at,item07 responded at,item08 responded at,item09 responded at,item10 responded at,item11 responded at
UTKIJ1509E@gmail.com,0,1,1,1,0,1,0,1,1,1,0,2017-10-01T02:05:04Z,2017-10-01T02:05:18Z,2017-10-01T02:05:25Z,2017-10-01T02:05:41Z,2017-10-01T02:06:05Z,2017-10-01T02:06:50Z,2017-10-01T02:07:42Z,2017-10-01T02:08:32Z,2017-10-01T02:09:16Z,2017-10-01T02:10:04Z,2017-10-01T02:11:01Z
UPXWZ8813U@gmail.com,0,1,1,1,1,1,1,0,0,1,1,2017-10-01T08:52:30Z,2017-10-01T08:52:41Z,2017-10-01T08:52:53Z,2017-10-01T08:53:07Z,2017-10-01T08:53:32Z,2017-10-01T08:54:17Z,2017-10-01T08:55:03Z,2017-10-01T08:55:47Z,2017-10-01T08:56:28Z,2017-10-01T08:57:14Z,2017-10-01T08:58:06Z
ECDEM7888E@gmail.com,0,1,1,0,0,1,1,1,0,1,1,2017-10-01T08:54:17Z,2017-10-01T08:54:26Z,2017-10-01T08:54:41Z,2017-10-01T08:55:00Z,2017-10-01T08:55:16Z,2017-10-01T08:56:01Z,2017-10-01T08:56:52Z,2017-10-01T08:57:44Z,2017-10-01T08:58:35Z,2017-10-01T08:59:27Z,2017-10-01T09:00:22Z
NWGDV0987P@gmail.com,0,1,0,1,1,1,0,1,1,1,0,2017-10-01T10:57:48Z,2017-10-01T10:58:00Z,2017-10-01T10:58:24Z,2017-10-01T10:58:39Z,2017-10-01T10:58:59Z,2017-10-01T10:59:43Z,2017-10-01T11:00:35Z,2017-10-01T11:01:22Z,2017-10-01T11:02:09Z,2017-10-01T11:02:56Z,2017-10-01T11:03:42Z
FTXHN4576J@gmail.com,0,0,1,1,0,1,1,0,1,0,1,2017-10-01T15:22:22Z,2017-10-01T15:22:31Z,2017-10-01T15:22:41Z,2017-10-01T15:23:05Z,2017-10-01T15:23:26Z,2017-10-01T15:24:16Z,2017-10-01T15:25:06Z,2017-10-01T15:25:56Z,2017-10-01T15:26:49Z,2017-10-01T15:27:36Z,2017-10-01T15:28:33Z
ITNWT9882E@gmail.com,1,1,0,1,1,0,0,1,1,0,1,2017-10-01T18:27:07Z,2017-10-01T18:27:16Z,2017-10-01T18:27:28Z,2017-10-01T18:27:41Z,2017-10-01T18:28:03Z,2017-10-01T18:28:47Z,2017-10-01T18:29:37Z,2017-10-01T18:30:32Z,2017-10-01T18:31:26Z,2017-10-01T18:32:20Z,2017-10-01T18:33:07Z
FANED5031A@gmail.com,1,1,1,1,0,1,0,1,0,0,1,2017-10-01T18:29:04Z,2017-10-01T18:29:10Z,2017-10-01T18:29:17Z,2017-10-01T18:29:36Z,2017-10-01T18:29:52Z,2017-10-01T18:30:31Z,2017-10-01T18:31:24Z,2017-10-01T18:32:11Z,2017-10-01T18:33:00Z,2017-10-01T18:33:45Z,2017-10-01T18:34:30Z
FQYJV1821Q@gmail.com,1,1,1,1,1,1,0,1,1,1,1,2017-10-01T21:14:49Z,2017-10-01T21:15:04Z,2017-10-01T21:15:28Z,2017-10-01T21:15:47Z,2017-10-01T21:16:03Z,2017-10-01T21:16:45Z,2017-10-01T21:17:30Z,2017-10-01T21:18:24Z,2017-10-01T21:19:18Z,2017-10-01T21:20:16Z,2017-10-01T21:21:10Z
DAVYO4155E@gmail.com,0,1,0,1,1,0,1,0,0,0,0,2017-10-02T20:30:04Z,2017-10-02T20:30:08Z,2017-10-02T20:30:22Z,2017-10-02T20:30:42Z,2017-10-02T20:31:04Z,2017-10-02T20:31:47Z,2017-10-02T20:32:43Z,2017-10-02T20:33:31Z,2017-10-02T20:34:19Z,2017-10-02T20:35:09Z,2017-10-02T20:36:00Z
IJEFL0871K@gmail.com,0,1,0,1,1,1,1,1,0,1,0,2017-10-02T21:15:25Z,2017-10-02T21:15:32Z,2017-10-02T21:15:43Z,2017-10-02T21:16:04Z,2017-10-02T21:16:32Z,2017-10-02T21:17:10Z,2017-10-02T21:17:55Z,2017-10-02T21:18:44Z,2017-10-02T21:19:33Z,2017-10-02T21:20:25Z,2017-10-02T21:21:19Z
